"Nama_Kabupaten","Indeks_Pangan","Konsumsi_Protein","Stunting_2018"
"kotawaringin barat",67.91,72.3,22.1
"kotawaringin timur",75.5,65.2,48.8
"kubu raya",75.56,53.7,24.8
"kudus",82.31,60.3,29.4
"kulon progo",76.59,56.4,22.7
"kuningan",75.17,66,28.7
"kupang",57.92,66.2,41.4
"kupang",57.92,52.3,41.4
"kutai barat",70.64,58.4,30
"kutai timur",71.27,64,30.4
"labuhan batu",75.9,54.2,36.4
"labuhan batu selatan",50.64,65.7,34.9
"labuhan batu utara",76.98,61.5,31.2
"lahat",70.82,63.6,48.1
"lamandau",76.45,70.9,28.3
"lamongan",84.6,64.2,35.5
"lampung barat",77.43,58.3,33
"lampung selatan",70.76,61.4,29.1
"lampung tengah",71.96,59.6,25.3
"lampung timur",73.63,57,24.7
"lampung utara",76.48,50.4,26.6
"landak",72.59,57,42
"langkat",74.91,58.7,31.6
"lanny jaya",19.08,42.3,47.1
"lebak",71.63,70.6,40.2
"lebong",69.17,62.8,26.1
"lembata",63.38,52.9,43.1
"lingga",45.06,63.3,22
"lombok barat",70.39,70.6,33.6
"lombok tengah",69.89,78,31.1
"lombok timur",67.4,88.8,43.5
"lombok utara",63.34,75.5,29.3
"lumajang",74.28,66.1,34
"luwu",76.1,60.7,30.3
"luwu timur",83,65.8,25.3
"luwu utara",76.45,65,34.7
"madiun",81.94,63.1,32.4
"madiun",81.94,58.7,32.4
"magelang",76.32,55.3,33.9
"magelang",76.32,55.3,33.9
"magetan",84.1,56.4,30.3
"majalengka",75.92,69.2,36.6
"majene",75.28,60.2,45.9
"malaka",54.45,52.6,43
"malang",75.69,57.7,31.7
"malang",75.69,55.2,31.7
"malinau",82.44,55.3,24.6
"maluku barat daya",45.55,54.2,31.1
"maluku tengah",36.57,54.9,42.8
"maluku tenggara",61.85,49.1,31.1
"mamasa",67.32,64.7,43.2
"mamberamo raya",21.94,48.1,19.4
"mamberamo tengah",21.63,31.4,34.8
"mamuju",70.87,51.2,46.5
"mamuju tengah",76.52,60.5,41.6
"mamuju utara",64.02,59.6,34.8
"mandailing natal",77.44,58.5,48.3
"manggarai",68.76,67.3,43.3
"manggarai barat",68.07,62.1,44.3
"manggarai timur",58.06,61.7,48.4
"manokwari",61.41,53.9,32.1
"manokwari selatan",54.3,49.7,40.3
"mappi",28.34,33.4,33.1
"maros",72.11,56.5,34.9
"maybrat",32.55,50.9,42
"mempawah",76.22,54.6,33.4
"merangin",76.97,60.2,35
"merauke",78.53,63.9,22.8
"mesuji",80.82,55.3,28.2
"mimika",74.41,61,28
"minahasa",77.55,66.7,20.1
"minahasa selatan",74.06,70.7,26.1
"minahasa tenggara",75.16,68.7,28
"minahasa utara",79.41,68.7,35.4
"mojokerto",80.09,62.4,29.9
"mojokerto",80.09,61.3,29.9
"morowali",72.76,64.4,34.8
"morowali utara",73.96,69.1,28.5
"muara enim",72.12,58.8,34.4
"muaro jambi",60.98,62.5,20.7
"mukomuko",74.6,59.1,33.1
"muna",77.51,60.2,26.8
"muna barat",52.95,60.3,31.3
"murung raya",74.14,52,30.8
"musi banyuasin",75.13,62.4,31.1
"musi rawas",76.58,59.5,34.6
"musi rawas utara",62.03,61.7,33.2
"nabire",78.53,64,27.4
"nagan raya",72.8,71.3,40.6
"nagekeo",54.35,59.6,36
"natuna",54.75,60.9,22.2
"nduga",7.38,43.4,49.8
"ngada",68.75,64.6,34.7
"nganjuk",80.07,60.4,29.6
"ngawi",79.37,58.7,40.5
"nias",71.36,53.7,61.3
"nias barat",57.43,52,45.9
"nias selatan",63.02,56.8,45.1
"nias utara",57.34,55.9,45.5
"nunukan",69.82,60.8,30.5
"ogan ilir",73.96,60.2,43.9
"ogan komering ilir",75.49,67.1,30.6
"ogan komering ulu",73.74,58.5,33.2
"ogan komering ulu selatan",78.49,54.2,26.4
"ogan komering ulu timur",73.87,68.7,27.2
"pacitan",77.35,53.8,26.3
"padang lawas",65.77,60.9,42.9
"padang lawas utara",73.26,66.3,47.5
"padang pariaman",80.23,57.4,26.1
"pakpak bharat",74.27,65.1,45.6
"pamekasan",66.35,52.9,44.1
"pandeglang",70.42,59.7,39.5
"pangandaran",77.18,68.4,32.7
