KD_PROV,KD_KABKOTA,PROVINSI,KABKOTA,kdprov,kdkab,nmprov,nmkab,thn_prior,PCT_STUNTING_2013,PCT_STUNTING_2018
33,3304,JAWA TENGAH,Banjarnegara,33,3304,JAWA TENGAH,Kab. Banjarnegara,2021,37.65,24.1
33,3305,JAWA TENGAH,Kebumen,33,3305,JAWA TENGAH,Kab. Kebumen,2018,33.82,33.9
33,3306,JAWA TENGAH,Purworejo,33,3306,JAWA TENGAH,Kab. Purworejo,2021,35.4,23.3
33,3307,JAWA TENGAH,Wonosobo,33,3307,JAWA TENGAH,Kab. Wonosobo,2018,41.12,31.5
33,3308,JAWA TENGAH,Magelang,33,3308,JAWA TENGAH,Kab. Magelang,2020,36.64,33.9
33,3309,JAWA TENGAH,Boyolali,33,3309,JAWA TENGAH,Kab. Boyolali,2021,31.63,28.5
33,3310,JAWA TENGAH,Klaten,33,3310,JAWA TENGAH,Kab. Klaten,2018,31.29,29.6
33,3311,JAWA TENGAH,Sukoharjo,33,3311,JAWA TENGAH,Kab. Sukoharjo,2021,26.25,31.3
33,3312,JAWA TENGAH,Wonogiri,33,3312,JAWA TENGAH,Kab. Wonogiri,2021,26.56,27.9
33,3313,JAWA TENGAH,Karanganyar,33,3313,JAWA TENGAH,Kab. Karanganyar,2021,27.45,28
33,3314,JAWA TENGAH,Sragen,33,3314,JAWA TENGAH,Kab. Sragen,2020,29.96,33.2
33,3315,JAWA TENGAH,Grobogan,33,3315,JAWA TENGAH,Kab. Grobogan,2018,54.97,39.2
33,3316,JAWA TENGAH,Blora,33,3316,JAWA TENGAH,Kab. Blora,2018,55.06,32.9
33,3317,JAWA TENGAH,Rembang,33,3317,JAWA TENGAH,Kab. Rembang,2021,33.54,25.7
33,3318,JAWA TENGAH,Pati,33,3318,JAWA TENGAH,Kab. Pati,2020,37.22,37.9
33,3319,JAWA TENGAH,Kudus,33,3319,JAWA TENGAH,Kab. Kudus,2021,44,29.4
33,3320,JAWA TENGAH,Jepara,33,3320,JAWA TENGAH,Kab. Jepara,2020,32.6,33.6
33,3321,JAWA TENGAH,Demak,33,3321,JAWA TENGAH,Kab. Demak,2018,50.28,26.1
33,3322,JAWA TENGAH,Semarang,33,3322,JAWA TENGAH,Kab. Semarang,2021,34.95,24.9
33,3323,JAWA TENGAH,Temanggung,33,3323,JAWA TENGAH,Kab. Temanggung,2021,34.33,30.3
33,3324,JAWA TENGAH,Kendal,33,3324,JAWA TENGAH,Kab. Kendal,2021,40.12,25.5
33,3325,JAWA TENGAH,Batang,33,3325,JAWA TENGAH,Kab. Batang,2021,35.37,25.3
33,3326,JAWA TENGAH,Pekalongan,33,3326,JAWA TENGAH,Kab. Pekalongan,2019,41.55,35.1
33,3327,JAWA TENGAH,Pemalang,33,3327,JAWA TENGAH,Kab. Pemalang,2018,46.28,33.7
33,3328,JAWA TENGAH,Tegal,33,3328,JAWA TENGAH,Kab. Tegal,2021,37.08,30.6
33,3329,JAWA TENGAH,Brebes,33,3329,JAWA TENGAH,Kab. Brebes,2018,43.62,38.5
33,3371,JAWA TENGAH,Kota Magelang,33,3371,JAWA TENGAH,Kota Magelang,2022,31.91,27.5
33,3372,JAWA TENGAH,Kota Surakarta,33,3372,JAWA TENGAH,Kota Surakarta,2021,20.52,39.5
33,3373,JAWA TENGAH,Kota Salatiga,33,3373,JAWA TENGAH,Kota Salatiga,2022,18.12,34.2
33,3374,JAWA TENGAH,Kota Semarang,33,3374,JAWA TENGAH,Kota Semarang,2021,25.58,29.7
33,3375,JAWA TENGAH,Kota Pekalongan,33,3375,JAWA TENGAH,Kota Pekalongan,2022,41.16,29.7
33,3376,JAWA TENGAH,Kota Tegal,33,3376,JAWA TENGAH,Kota Tegal,2022,31.64,20.7
34,3401,DI YOGYAKARTA,Kulon Progo,34,3401,DI YOGYAKARTA,Kab. Kulon Progo,2018,26.31,22.7
34,3402,DI YOGYAKARTA,Bantul,34,3402,DI YOGYAKARTA,Kab. Bantul,2019,26.31,22.9
34,3403,DI YOGYAKARTA,Gunung Kidul,34,3403,DI YOGYAKARTA,Kab. Gunungkidul,2020,31.02,32.5
34,3404,DI YOGYAKARTA,Sleman,34,3404,DI YOGYAKARTA,Kab. Sleman,2021,28.43,14.7
34,3471,DI YOGYAKARTA,Kota Yogyakarta,34,3471,DI YOGYAKARTA,Kota Yogyakarta,2021,20.94,16.9
35,3501,JAWA TIMUR,Pacitan,35,3501,JAWA TIMUR,Kab. Pacitan,2022,35.68,26.3
35,3502,JAWA TIMUR,Ponorogo,35,3502,JAWA TIMUR,Kab. Ponorogo,2021,30.77,30.5
35,3503,JAWA TIMUR,Trenggalek,35,3503,JAWA TIMUR,Kab. Trenggalek,2018,38.63,39.9
35,3504,JAWA TIMUR,Tulungagung,35,3504,JAWA TIMUR,Kab. Tulungagung,2021,29.46,26.2
35,3505,JAWA TIMUR,Blitar,35,3505,JAWA TIMUR,Kab. Blitar,2021,27.7,27.4
