No,Kabupaten_Kota,Provinsi,Tahun,Konsumsi_Protein
864,Hulu Sungai Utara,Kalimantan Selatan,2022,66.4
865,Kabupaten Tabalong,Kalimantan Selatan,2022,75.8
866,Kabupaten Tanah Bumbu,Kalimantan Selatan,2022,66.6
867,Kabupaten Balangan,Kalimantan Selatan,2022,70.7
868,Kabupaten Kota Banjarmasin,Kalimantan Selatan,2022,66.7
869,Kota Banjar Baru,Kalimantan Selatan,2022,69.1
870,Kabupaten Paser,Kalimantan Timur,2022,64.5
871,Kabupaten Kutai Barat,Kalimantan Timur,2022,59.0
872,Kabupaten Kutai Kertanegara,Kalimantan Timur,2022,60.6
873,Kabupaten Kutai Timur,Kalimantan Timur,2022,62.1
874,Kabupaten Berau,Kalimantan Timur,2022,68.4
875,Kabupaten Penajam Paser Utara,Kalimantan Timur,2022,57.6
876,Kabupaten Mahakam Ulu,Kalimantan Timur,2022,56.2
877,Kabupaten Kota Balikpapan,Kalimantan Timur,2022,63.0
878,Kota Samarinda,Kalimantan Timur,2022,65.0
879,Kota Bontang,Kalimantan Timur,2022,65.7
880,Kabupaten Malinau,Kalimantan Utara,2022,58.7
881,Kabupaten Bulungan,Kalimantan Utara,2022,58.3
882,Kabupaten Tana Tidung,Kalimantan Utara,2022,57.8
883,Kabupaten Nunukan,Kalimantan Utara,2022,61.7
884,Kabupaten Kota Tarakan,Kalimantan Utara,2022,59.5
885,Kabupaten Bolaang Mongondow,Sulawesi Utara,2022,64.6
886,Kabupaten Minahasa,Sulawesi Utara,2022,71.6
887,Kabupaten Kepulauan Sangihe,Sulawesi Utara,2022,57.1
888,Kabupaten Kepulauan Talaud,Sulawesi Utara,2022,59.4
889,Kabupaten Minahasa Selatan,Sulawesi Utara,2022,69.6
890,Kabupaten Minahasa Utara,Sulawesi Utara,2022,72.9
891,Kabupaten Bolaang Mongondow Utara,Sulawesi Utara,2022,62.4
892,Kabupaten Kep. Siau Tagulandang Biaro,Sulawesi Utara,2022,49.5
893,Kabupaten Minahasa Tenggara,Sulawesi Utara,2022,68.1
894,Kabupaten Bolaang Mongondow Selatan,Sulawesi Utara,2022,61.5
895,Kabupaten Bolaang Mongondow Timur,Sulawesi Utara,2022,70.1
896,Kota Manado,Sulawesi Utara,2022,73.4
897,Kota Bitung,Sulawesi Utara,2022,67.9
898,Kota Tomohon,Sulawesi Utara,2022,76.3
899,Kota Kotamobago,Sulawesi Utara,2022,63.8
900,Kabupaten Banggai Kepulauan,Sulawesi Tengah,2022,53.6
901,Kabupaten Banggai,Sulawesi Tengah,2022,58.8
902,Kabupaten Morowali,Sulawesi Tengah,2022,61.1
903,Kabupaten Poso,Sulawesi Tengah,2022,59.7
904,Kabupaten Donggala,Sulawesi Tengah,2022,61.5
905,Kabupaten Toli-Toli,Sulawesi Tengah,2022,53.9
906,Kabupaten Buol,Sulawesi Tengah,2022,45.1
907,Kabupaten Parigi Moutong,Sulawesi Tengah,2022,58.5
908,Kabupaten Tojo Una-Una,Sulawesi Tengah,2022,51.6
909,SKabupaten igi,Sulawesi Tengah,2022,60.2
910,Banggai Laut,Sulawesi Tengah,2022,66.0
911,Kabupaten Morowali Utara,Sulawesi Tengah,2022,66.2
912,Kota Palu,Sulawesi Tengah,2022,58.8
913,Kabupaten Selayar,Sulawesi Selatan,2022,62.1
914,Kabupaten Bulukumba,Sulawesi Selatan,2022,70.2
915,Kabupaten Bantaeng,Sulawesi Selatan,2022,63.0
916,Kabupaten Jeneponto,Sulawesi Selatan,2022,67.9
917,Kabupaten Takalar,Sulawesi Selatan,2022,56.5
918,Kabupaten Gowa,Sulawesi Selatan,2022,59.9
919,Kabupaten Sinjai,Sulawesi Selatan,2022,62.5
920,Kabupaten Maros,Sulawesi Selatan,2022,59.3
921,Kabupaten Pangkajene dan Kepulauan,Sulawesi Selatan,2022,85.8
922,Kabupaten Barru,Sulawesi Selatan,2022,61.5
923,Kabupaten Bone,Sulawesi Selatan,2022,56.5
924,Kabupaten Soppeng,Sulawesi Selatan,2022,60.3
925,Kabupaten Wajo,Sulawesi Selatan,2022,57.0
926,Kabupaten Sidenreng Rappang,Sulawesi Selatan,2022,61.8
927,Kabupaten Pinrang,Sulawesi Selatan,2022,52.1
928,Kabupaten Enrekang,Sulawesi Selatan,2022,55.9
929,Kabupaten Luwu,Sulawesi Selatan,2022,60.7
930,Kabupaten Tana Toraja,Sulawesi Selatan,2022,55.5
931,Kabupaten Luwu Utara,Sulawesi Selatan,2022,62.3
932,Kabupaten Luwu Timur,Sulawesi Selatan,2022,68.8
933,Kabupaten Toraja Utara,Sulawesi Selatan,2022,56.0
934,Kabupaten Kota Makasar,Sulawesi Selatan,2022,77.5
935,Kabupaten Kota Pare-Pare,Sulawesi Selatan,2022,59.0
936,Kabupaten Kota Palopo,Sulawesi Selatan,2022,56.0
937,Kabupaten Buton,Sulawesi Tenggara,2022,63.4
938,Kabupaten Muna,Sulawesi Tenggara,2022,58.6
939,Kabupaten Konawe,Sulawesi Tenggara,2022,59.7
940,Kabupaten Kolaka,Sulawesi Tenggara,2022,51.5
941,Kabupaten Konawe Selatan,Sulawesi Tenggara,2022,56.3
942,Kabupaten Bombana,Sulawesi Tenggara,2022,60.7
943,Kabupaten Wakatobi,Sulawesi Tenggara,2022,65.4
944,Kabupaten Kolaka Utara,Sulawesi Tenggara,2022,64.0
945,Kabupaten Buton Utara,Sulawesi Tenggara,2022,60.0
946,Kabupaten Konawe Utara,Sulawesi Tenggara,2022,63.1
947,Kabupaten Kolaka Timur,Sulawesi Tenggara,2022,62.1
948,Kabupaten Konawe Kepulauan,Sulawesi Tenggara,2022,47.6
949,Kabupaten Muna Barat,Sulawesi Tenggara,2022,55.9
950,Kabupaten Buton Tengah,Sulawesi Tenggara,2022,57.2
951,Kabupaten Buton Selatan,Sulawesi Tenggara,2022,55.8
952,Kota Kendari,Sulawesi Tenggara,2022,66.7
953,Kota Bau-Bau,Sulawesi Tenggara,2022,55.1
954,Kabupaten Boalemo,Gorontalo,2022,60.9
955,Kabupaten Gorontalo,Gorontalo,2022,57.7
956,Kabupaten Pohuwato,Gorontalo,2022,54.3
957,Kabupaten Bone Bolango,Gorontalo,2022,54.8
958,Kabupaten Gorontalo Utara,Gorontalo,2022,58.3
959,Kota Gorontalo,Gorontalo,2022,56.2
960,Kabupaten Majene,Sulawesi Barat,2022,56.9
961,Kabupaten Polewali Mandar,Sulawesi Barat,2022,67.6
962,Kabupaten Mamasa,Sulawesi Barat,2022,59.7
963,Kabupaten Mamuju,Sulawesi Barat,2022,57.9
964,Kabupaten Mamuju Utara,Sulawesi Barat,2022,60.1
965,Kabupaten Mamuju Tengah,Sulawesi Barat,2022,58.6
966,Kabupaten Kepulauan Tanimbar,Maluku,2022,43.8
967,Kabupaten Maluku Tenggara,Maluku,2022,53.5
968,Kabupaten Maluku Tengah,Maluku,2022,58.3
969,Kabupaten Buru,Maluku,2022,48.1
970,Kabupaten Kepulauan Aru,Maluku,2022,44.0
971,Kabupaten Seram Bagian Barat,Maluku,2022,49.2
972,Kabupaten Seram Bagian Timur,Maluku,2022,56.7
973,Kabupaten Maluku Barat Daya,Maluku,2022,53.9
974,Kabupaten Buru Selatan,Maluku,2022,45.7
975,Kota Ambon,Maluku,2022,55.6
976,Kota Tual,Maluku,2022,50.5
977,Kabupaten Halmahera Barat,Maluku Utara,2022,54.4
978,Kabupaten Halmahera Tengah,Maluku Utara,2022,48.5
979,Kabupaten Kepulauan Sula,Maluku Utara,2022,49.4
980,Kabupaten Halmahera Selatan,Maluku Utara,2022,59.2
981,Kabupaten Halmahera Utara,Maluku Utara,2022,53.1
982,Kabupaten Halmahera Timur,Maluku Utara,2022,52.0
983,Kabupaten Pulau Morotai,Maluku Utara,2022,56.6
984,Kabupaten Pulau Taliabu,Maluku Utara,2022,56.8
985,Kota Ternate,Maluku Utara,2022,57.7
986,Kota Tidore Kepulauan,Maluku Utara,2022,50.3
987,Kabupaten Fak-Fak,Papua Barat,2022,67.6
988,Kabupaten Kaimana,Papua Barat,2022,56.1
989,Kabupaten Teluk Wondama,Papua Barat,2022,47.0
990,Kabupaten Teluk Bintuni,Papua Barat,2022,55.3
991,Kabupaten Manokwari,Papua Barat,2022,58.2
992,Kabupaten Sorong Selatan,Papua Barat,2022,35.5
993,Kabupaten Sorong,Papua Barat,2022,57.9
994,Kabupaten Raja Ampat,Papua Barat,2022,57.5
995,Kabupaten Tambrauw,Papua Barat,2022,44.3
996,Kabupaten Maybrat,Papua Barat,2022,49.1
997,Kabupaten Manokwari Selatan,Papua Barat,2022,57.9
998,Kabupaten Pegunungan Arfak,Papua Barat,2022,39.3
999,Kabupaten Kota Sorong,Papua Barat,2022,56.4
1000,Kabupaten Merauke,Papua,2022,65.7
1001,Kabupaten Jayawijaya,Papua,2022,42.0
1002,Kabupaten Jayapura,Papua,2022,51.4
1003,Kabupaten Nabire,Papua,2022,54.4
1004,Kabupaten Kepulauan Yapen,Papua,2022,47.0
1005,Kabupaten Biak Namfor,Papua,2022,43.4
1006,Kabupaten Paniai,Papua,2022,39.9
1007,Kabupaten Puncak Jaya,Papua,2022,45.5
1008,Kabupaten Mimika,Papua,2022,55.5
1009,Kabupaten Boven Digoel,Papua,2022,41.4
1010,Kabupaten Mappi,Papua,2022,33.6
1011,Kabupaten Asmat,Papua,2022,43.5
1012,Kabupaten Yahukimo,Papua,2022,33.6
1013,Kabupaten Pegunungan Bintang,Papua,2022,43.5
1014,Kabupaten Tolikara,Papua,2022,36.0
1015,Kabupaten Sarmi,Papua,2022,48.1
1016,Kabupaten Keerom,Papua,2022,41.4
1017,Kabupaten Waropen,Papua,2022,42.1
1018,Kabupaten Supiori,Papua,2022,77.1
1019,Kabupaten Mamberamo Raya,Papua,2022,52.5
1020,Kabupaten Nduga,Papua,2022,39.4
1021,Kabupaten Lanny Jaya,Papua,2022,45.8
1022,Kabupaten Mamberamo Tengah,Papua,2022,29.8
1023,Kabupaten Yalimo,Papua,2022,41.7
1024,Kabupaten Puncak,Papua,2022,22.0
1025,Kabupaten Dogiyai,Papua,2022,28.1
1026,Kabupaten Intan Jaya,Papua,2022,31.8
1027,Kabupaten Deiyai,Papua,2022,38.6
1028,Kota Jayapura,Papua,2022,54.2
1029,Kabupaten Simeulue,Aceh,2023,57.3
1030,Kabupaten Aceh Singkil,Aceh,2023,61.8
1031,Kabupaten Aceh Selatan,Aceh,2023,53.9
1032,Kabupaten Aceh Tenggara,Aceh,2023,64.5
1033,Kabupaten Aceh Timur,Aceh,2023,59.8
1034,Kabupaten Aceh Tengah,Aceh,2023,60.4
1035,Kabupaten Aceh Barat,Aceh,2023,62.5
1036,Kabupaten Aceh Besar,Aceh,2023,55.9
1037,Kabupaten Pidie,Aceh,2023,57.0
1038,Kabupaten Bireuen,Aceh,2023,61.6
1039,Kabupaten Aceh Utara,Aceh,2023,56.7
1040,Kabupaten Aceh Barat Daya,Aceh,2023,60.2
1041,Kabupaten Gayo Lues,Aceh,2023,69.9
1042,Kabupaten Aceh Tamiang,Aceh,2023,57.4
1043,Kabupaten Nagan Raya,Aceh,2023,100.8
1044,Kabupaten Aceh Jaya,Aceh,2023,66.1
1045,Kabupaten Bener Meriah,Aceh,2023,69.3
1046,Kabupaten Pidie Jaya,Aceh,2023,61.1
1047,Kota Banda Aceh,Aceh,2023,62.7
1048,Kota Sabang,Aceh,2023,64.8
1049,Kota Langsa,Aceh,2023,62.0
1050,Kota Lhokseumawe,Aceh,2023,58.7
1051,Kota Subulussalam,Aceh,2023,59.9
1052,Kabupaten Nias,Sumatera Utara,2023,57.4
1053,Kabupaten Mandailing Natal,Sumatera Utara,2023,64.6
1054,Kabupaten Tapanuli Selatan,Sumatera Utara,2023,62.1
1055,Kabupaten Tapanuli Tengah,Sumatera Utara,2023,56.9
1056,Kabupaten Tapanuli Utara,Sumatera Utara,2023,69.9
1057,Kabupaten Toba Samosir,Sumatera Utara,2023,73.0
1058,Kabupaten Labuhan Batu,Sumatera Utara,2023,59.7
1059,Kabupaten Asahan,Sumatera Utara,2023,60.9
1060,Kabupaten Simalungun,Sumatera Utara,2023,68.9
1061,Kabupaten Dairi,Sumatera Utara,2023,62.7
1062,Kabupaten Karo,Sumatera Utara,2023,70.6
1063,Kabupaten Deli Serdang,Sumatera Utara,2023,60.6
1064,Kabupaten Langkat,Sumatera Utara,2023,58.6
1065,Kabupaten Nias Selatan,Sumatera Utara,2023,55.9
1066,Kabupaten Humbang Hasundutan,Sumatera Utara,2023,69.1
1067,Kabupaten Pakpak Bharat,Sumatera Utara,2023,67.1
1068,Kabupaten Samosir,Sumatera Utara,2023,71.0
1069,Kabupaten Serdang Bedagai,Sumatera Utara,2023,62.4
1070,Kabupaten Batu Bara,Sumatera Utara,2023,56.0
1071,Kabupaten Padang Lawas Utara,Sumatera Utara,2023,64.8
1072,Kabupaten Padang Lawas,Sumatera Utara,2023,60.2
1073,Kabupaten Labuhan Batu Selatan,Sumatera Utara,2023,60.7
1074,Kabupaten Labuhan Batu Utara,Sumatera Utara,2023,60.2
1075,Kabupaten Nias Utara,Sumatera Utara,2023,59.1
1076,Kabupaten Nias Barat,Sumatera Utara,2023,55.4
1077,Kota Sibolga,Sumatera Utara,2023,61.4
1078,Kota Tanjung Balai,Sumatera Utara,2023,67.5
1079,Kota Pematang Siantar,Sumatera Utara,2023,69.8
1080,Kota Tebing Tinggi,Sumatera Utara,2023,72.7
1081,Kota Medan,Sumatera Utara,2023,66.3
1082,Kota Binjai,Sumatera Utara,2023,59.2
1083,Kota Padang Sidimpuan,Sumatera Utara,2023,65.1
1084,Kota Gunungsitoli,Sumatera Utara,2023,51.4
1085,Kabupaten Kepulauan Mentawai,Sumatera Barat,2023,53.5
1086,Kabupaten Pesisir Selatan,Sumatera Barat,2023,57.5
1087,Kabupaten Solok,Sumatera Barat,2023,63.0
1088,Kabupaten Sijunjung,Sumatera Barat,2023,57.7
1089,Kabupaten Tanah Datar,Sumatera Barat,2023,57.1
1090,Kabupaten Padang Pariaman,Sumatera Barat,2023,54.4
1091,Kabupaten Agam,Sumatera Barat,2023,59.7
1092,Kabupaten Limapuluh Koto,Sumatera Barat,2023,61.5
1093,Kabupaten Pasaman,Sumatera Barat,2023,61.4
1094,Kabupaten Solok Selatan,Sumatera Barat,2023,62.9
1095,Kabupaten Dharmas Raya,Sumatera Barat,2023,55.2
1096,Kabupaten Pasaman Barat,Sumatera Barat,2023,56.6
1097,Kabupaten Kota Padang,Sumatera Barat,2023,58.9
1098,Kabupaten Kota Solok,Sumatera Barat,2023,62.0
1099,Kota Sawah Lunto,Sumatera Barat,2023,58.6
1100,Kota Padang Panjang,Sumatera Barat,2023,57.2
1101,Kota Bukittinggi,Sumatera Barat,2023,58.3
1102,Kota Payakumbuh,Sumatera Barat,2023,64.0
1103,Kota Pariaman,Sumatera Barat,2023,56.0
1104,Kabupaten Kuantan Sengingi,Riau,2023,57.6
1105,Kabupaten Indragiri Hulu,Riau,2023,59.1
1106,Kabupaten Indragiri Hilir,Riau,2023,56.3
1107,Kabupaten Pelalawan,Riau,2023,62.5
1108,Kabupaten Siak,Riau,2023,64.5
1109,Kabupaten Kampar,Riau,2023,58.6
1110,Kabupaten Rokan Hulu,Riau,2023,61.3
1111,Kabupaten Bengkalis,Riau,2023,62.8
1112,Kabupaten Rokan Hilir,Riau,2023,56.2
1113,Kabupaten Kepulauan Meranti,Riau,2023,60.1
1114,Kota Pekanbaru,Riau,2023,60.5
1115,Kota Dumai,Riau,2023,62.3
1116,Kabupaten Kerinci,Jambi,2023,65.4
1117,Kabupaten Merangin,Jambi,2023,52.1
1118,Kabupaten Sarolangun,Jambi,2023,56.2
1119,Kabupaten Batang Hari,Jambi,2023,62.5
1120,Kabupaten Muaro Jambi,Jambi,2023,62.2
1121,Kabupaten Tanjung Jabung Timur,Jambi,2023,69.3
1122,Kabupaten Tanjung Jabung Barat,Jambi,2023,56.5
1123,Kabupaten Tebo,Jambi,2023,53.8
1124,Kabupaten Bungo,Jambi,2023,62.1
1125,Kota Jambi,Jambi,2023,60.6
1126,Kota Sungai Penuh,Jambi,2023,58.2
1127,Kabupaten Ogan Komering Ulu,Sumatera Selatan,2023,57.3
1128,Kabupaten Ogan Komering Ilir,Sumatera Selatan,2023,64.9
1129,Kabupaten Muara Enim,Sumatera Selatan,2023,59.0
1130,Kabupaten Lahat,Sumatera Selatan,2023,72.8
1131,Kabupaten Musi Rawas,Sumatera Selatan,2023,65.6
1132,Kabupaten Musi Banyuasin,Sumatera Selatan,2023,62.9
1133,Kabupaten Banyuasin,Sumatera Selatan,2023,72.1
1134,Kabupaten Ogan Komering Ulu Selatan,Sumatera Selatan,2023,59.8
1135,Kabupaten Ogan Komering Ulu Timur,Sumatera Selatan,2023,60.7
1136,Kabupaten Ogan Ilir,Sumatera Selatan,2023,59.7
1137,Kabupaten Empat Lawang,Sumatera Selatan,2023,66.3
1138,Kabupaten Penukal Abab Lematang Ilir,Sumatera Selatan,2023,59.5
1139,Kabupaten Musi Rawas Utara,Sumatera Selatan,2023,64.4
1140,Kota Palembang,Sumatera Selatan,2023,69.5
1141,Kota Prabumulih,Sumatera Selatan,2023,59.0
1142,Kota Pagar Alam,Sumatera Selatan,2023,62.5
1143,Kota Lubuklinggau,Sumatera Selatan,2023,70.4
1144,Kabupaten Bengkulu Selatan,Bengkulu,2023,86.1
1145,Kabupaten Rejang Lebong,Bengkulu,2023,61.8
1146,Kabupaten Bengkulu Utara,Bengkulu,2023,58.7
1147,Kabupaten Kaur,Bengkulu,2023,61.0
1148,Kabupaten Seluma,Bengkulu,2023,58.4
1149,Kabupaten Mukomuko,Bengkulu,2023,58.5
1150,Kabupaten Lebong,Bengkulu,2023,63.7
1151,Kabupaten Kepahiang,Bengkulu,2023,59.8
1152,Kabupaten Bengkulu Tengah,Bengkulu,2023,62.5
1153,Kota Bengkulu,Bengkulu,2023,59.0
1154,Kabupaten Lampung Barat,Lampung,2023,63.8
1155,Kabupaten Tanggamus,Lampung,2023,63.6
1156,Kabupaten Lampung Selatan,Lampung,2023,60.3
1157,Kabupaten Lampung Timur,Lampung,2023,58.5
1158,Kabupaten Lampung Tengah,Lampung,2023,56.7
1159,Kabupaten Lampung Utara,Lampung,2023,55.0
1160,Kabupaten Way Kanan,Lampung,2023,62.0
1161,Kabupaten Tulang Bawang,Lampung,2023,56.0
1162,Kabupaten Pesawaran,Lampung,2023,63.6
1163,Kabupaten Pringsewu,Lampung,2023,58.9
1164,Kabupaten Mesuji,Lampung,2023,58.8
1165,Kabupaten Tulang Bawang Barat,Lampung,2023,52.2
1166,Kabupaten Pesisir Barat,Lampung,2023,56.7
1167,Kota Bandar Lampung,Lampung,2023,61.3
1168,Kota Metro,Lampung,2023,55.0
1169,Kabupaten Bangka,Kep. Bangka Belitung,2023,68.8
1170,Kabupaten Belitung,Kep. Bangka Belitung,2023,65.6
1171,Kabupaten Bangka Barat,Kep. Bangka Belitung,2023,62.3
1172,Kabupaten Bangka Tengah,Kep. Bangka Belitung,2023,65.5
1173,Kabupaten Bangka Selatan,Kep. Bangka Belitung,2023,65.1
1174,Kabupaten Belitung Timur,Kep. Bangka Belitung,2023,67.6
1175,Kota Pangkal Pinang,Kep. Bangka Belitung,2023,68.8
1176,Kabupaten Karimun,Kep. Riau,2023,62.9
1177,Kabupaten Bintan,Kep. Riau,2023,63.5
1178,Kabupaten Natuna,Kep. Riau,2023,66.8
1179,Kabupaten Lingga,Kep. Riau,2023,58.2
1180,Kabupaten Kepulauan Anambas,Kep. Riau,2023,58.0
1181,Kota Batam,Kep. Riau,2023,67.5
1182,Kota Tanjung Pinang,Kep. Riau,2023,70.0
1183,Kep. Seribu,DKI Jakarta,2023,61.7
1184,Kota Jakarta Selatan,DKI Jakarta,2023,70.2
1185,Kota Jakarta Timur,DKI Jakarta,2023,70.4
1186,Kota Jakarta Pusat,DKI Jakarta,2023,69.1
1187,Kota Jakarta Barat,DKI Jakarta,2023,66.6
1188,Kota Jakarta Utara,DKI Jakarta,2023,78.3
1189,Kabupaten Bogor,Jawa Barat,2023,93.4
1190,Kabupaten Sukabumi,Jawa Barat,2023,70.0
1191,Kabupaten Cianjur,Jawa Barat,2023,64.1
1192,Kabupaten Bandung,Jawa Barat,2023,55.7
1193,Kabupaten Garut,Jawa Barat,2023,59.8
1194,Kabupaten Tasikmalaya,Jawa Barat,2023,60.6
1195,Kabupaten Ciamis,Jawa Barat,2023,67.0
1196,Kabupaten Kuningan,Jawa Barat,2023,59.4
1197,Kabupaten Cirebon,Jawa Barat,2023,62.5
1198,Kabupaten Majalengka,Jawa Barat,2023,62.9
1199,Kabupaten Sumedang,Jawa Barat,2023,65.1
1200,Kabupaten Indramayu,Jawa Barat,2023,78.0
1201,Kabupaten Subang,Jawa Barat,2023,66.9
1202,Kabupaten Purwakarta,Jawa Barat,2023,66.5
1203,Kabupaten Karawang,Jawa Barat,2023,67.9
1204,Kabupaten Bekasi,Jawa Barat,2023,61.9
1205,Kabupaten Bandung Barat,Jawa Barat,2023,59.8
1206,Kabupaten Pangandaran,Jawa Barat,2023,68.5
1207,Kota Bogor,Jawa Barat,2023,63.4
1208,Kota Sukabumi,Jawa Barat,2023,63.2
1209,Kota Bandung,Jawa Barat,2023,62.7
1210,Kota Cirebon,Jawa Barat,2023,62.3
1211,Kota Bekasi,Jawa Barat,2023,97.9
1212,Kota Depok,Jawa Barat,2023,63.5
1213,Kota Cimahi,Jawa Barat,2023,60.6
1214,Kota Tasikmalaya,Jawa Barat,2023,73.2
1215,Kota Banjar,Jawa Barat,2023,72.9
1216,Kabupaten Cilacap,Jawa Tengah,2023,57.4
1217,Kabupaten Banyumas,Jawa Tengah,2023,58.4
1218,Kabupaten  Purbalingga,Jawa Tengah,2023,54.0
1219,Kabupaten Banjarnegara,Jawa Tengah,2023,61.0
1220,Kabupaten Kebumen,Jawa Tengah,2023,57.9
1221,Kabupaten Purworejo,Jawa Tengah,2023,55.7
1222,Kabupaten Wonosobo,Jawa Tengah,2023,65.7
1223,Kabupaten Magelang,Jawa Tengah,2023,55.0
1224,Kabupaten Boyolali,Jawa Tengah,2023,53.6
1225,Kabupaten Klaten,Jawa Tengah,2023,52.9
1226,Kabupaten Sukoharjo,Jawa Tengah,2023,54.2
1227,Kabupaten Wonogiri,Jawa Tengah,2023,58.9
1228,Kabupaten Karanganyar,Jawa Tengah,2023,52.5
1229,Kabupaten Sragen,Jawa Tengah,2023,60.7
1230,Kabupaten Grobogan,Jawa Tengah,2023,60.0
1231,Kabupaten Blora,Jawa Tengah,2023,61.0
1232,Kabupaten Rembang,Jawa Tengah,2023,67.2
1233,Kabupaten Pati,Jawa Tengah,2023,66.5
1234,Kabupaten Kudus,Jawa Tengah,2023,60.4
1235,Kabupaten Jepara,Jawa Tengah,2023,59.2
1236,Kabupaten Demak,Jawa Tengah,2023,60.8
1237,Kabupaten Semarang,Jawa Tengah,2023,56.7
1238,Kabupaten Temanggung,Jawa Tengah,2023,53.8
1239,Kabupaten Kendal,Jawa Tengah,2023,60.9
1240,Kabupaten Batang ,Jawa Tengah,2023,66.3
1241,Kabupaten Pekalongan,Jawa Tengah,2023,67.1
1242,Kabupaten Pemalang,Jawa Tengah,2023,68.6
1243,Kabupaten Tegal,Jawa Tengah,2023,59.5
1244,Kabupaten Brebes,Jawa Tengah,2023,66.6
1245,Kota Magelang,Jawa Tengah,2023,52.1
1246,Kota Surakarta,Jawa Tengah,2023,57.9
1247,Kota Salatiga,Jawa Tengah,2023,60.7
1248,Kota Semarang,Jawa Tengah,2023,55.5
1249,Kota Pekalongan,Jawa Tengah,2023,70.0
1250,Kota Tegal,Jawa Tengah,2023,67.6
1251,Kabupaten Kulon Progo,DI Yogyakarta,2023,54.5
1252,Kabupaten Bantul,DI Yogyakarta,2023,62.6
1253,Kabupaten Gunung Kidul,DI Yogyakarta,2023,59.7
1254,Kabupaten Sleman,DI Yogyakarta,2023,69.6
1255,Kabupaten Yogyakarta,DI Yogyakarta,2023,66.2
1256,Kabupaten Pacitan,Jawa Timur,2023,58.6
1257,Kabupaten Ponorogo,Jawa Timur,2023,57.0
1258,Kabupaten Trenggalek,Jawa Timur,2023,58.0
1259,Kabupaten Tulungagung,Jawa Timur,2023,58.4
1260,Kabupaten Blitar,Jawa Timur,2023,53.3
1261,Kabupaten Kediri,Jawa Timur,2023,60.9
1262,Kabupaten Malang,Jawa Timur,2023,55.4
1263,Kabupaten Lumajang,Jawa Timur,2023,69.8
1264,Kabupaten Jember,Jawa Timur,2023,62.1
1265,Kabupaten Banyuwangi,Jawa Timur,2023,62.1
1266,Kabupaten Bondowoso,Jawa Timur,2023,60.4
1267,Kabupaten Situbondo,Jawa Timur,2023,62.0
1268,Kabupaten Probolinggo,Jawa Timur,2023,57.4
1269,Kabupaten Pasuruan,Jawa Timur,2023,63.0
1270,Kabupaten Sidoarjo,Jawa Timur,2023,56.9
1271,Kabupaten Mojokerto,Jawa Timur,2023,61.9
1272,Kabupaten Jombang,Jawa Timur,2023,58.6
1273,Kabupaten Nganjuk,Jawa Timur,2023,60.6
1274,Kabupaten Madiun,Jawa Timur,2023,59.1
1275,Kabupaten Magetan,Jawa Timur,2023,55.3
1276,Kabupaten Ngawi,Jawa Timur,2023,57.8
1277,Kabupaten Bojonegoro,Jawa Timur,2023,58.7
1278,Kabupaten Tuban,Jawa Timur,2023,63.2
1279,Kabupaten Lamongan,Jawa Timur,2023,68.3
1280,Kabupaten Gresik,Jawa Timur,2023,62.0
1281,Kabupaten Bangkalan,Jawa Timur,2023,57.3
1282,Kabupaten Sampang,Jawa Timur,2023,60.0
1283,Kabupaten Pamekasan,Jawa Timur,2023,53.7
1284,Kabupaten Sumenep,Jawa Timur,2023,89.9
1285,Kota Kediri,Jawa Timur,2023,58.8
1286,Kota Blitar,Jawa Timur,2023,54.5
1287,Kota Malang,Jawa Timur,2023,54.5
1288,Kota Probolinggo,Jawa Timur,2023,55.8
1289,Kota Pasuruan,Jawa Timur,2023,64.6
1290,Kota Mojokerto,Jawa Timur,2023,58.2
1291,Kota Madiun,Jawa Timur,2023,63.0
1292,Kota Surabaya,Jawa Timur,2023,62.8
1293,Kota Batu,Jawa Timur,2023,56.5
1294,Kabupaten Pandeglang,Banten,2023,62.0
1295,Kabupaten Lebak,Banten,2023,69.5
1296,Kabupaten Tangerang,Banten,2023,65.0
1297,Kabupaten Serang,Banten,2023,65.0
1298,Kota Tangerang,Banten,2023,77.5
1299,Kota Cilegon,Banten,2023,60.9
1300,Kota Serang,Banten,2023,64.2
1301,Kota Tangerang Selatan,Banten,2023,63.2
1302,Kabupaten Jembrana,Bali,2023,70.4
1303,Kabupaten Tabanan,Bali,2023,65.4
1304,Kabupaten Badung,Bali,2023,69.0
1305,Kabupaten Gianyar,Bali,2023,64.9
1306,Kabupaten Klungkung,Bali,2023,69.0
1307,Kabupaten Bangli,Bali,2023,66.0
1308,Kabupaten Karangasem,Bali,2023,57.5
1309,Kabupaten Buleleng,Bali,2023,63.5
1310,Kabupaten Kota Denpasar,Bali,2023,67.5
1311,Kabupaten Lombok Barat,Nusa Tenggara Barat,2023,74.2
1312,Kabupaten Lombok Tengah,Nusa Tenggara Barat,2023,75.7
1313,Kabupaten Lombok Timur,Nusa Tenggara Barat,2023,87.9
1314,Kabupaten Sumbawa,Nusa Tenggara Barat,2023,67.3
1315,Kabupaten Dompu,Nusa Tenggara Barat,2023,68.8
1316,Kabupaten Bima,Nusa Tenggara Barat,2023,94.5
1317,Kabupaten Sumbawa Barat,Nusa Tenggara Barat,2023,78.2
1318,Kabupaten Lombok Utara,Nusa Tenggara Barat,2023,77.6
1319,Kota Mataram,Nusa Tenggara Barat,2023,79.9
